Grant Number,Title
RFA-FD-11-024,novel interventions and collaborations to improving the safe use of medications (u01)
RFA-FD-11-029,"quality by design for orally inhaled drugs: chemistry, manufacturing, and controls (u01)"
RFA-RM-10-005,computational tool development and integrative data analysis for lincs (u01)
RFA-FD-11-010,evaluation of salmonella in symptomatic and asymptomatic pets: study for the vet-lrn program (u18)
RFA-HS-11-002,"infrastructure for maintaining primary care transformation (impact) support for models of multi-sector, state-level excellence (u18) note: the policies, guidelines terms and conditions stated in this"
RFA-HS-11-004,"centers for education and research on therapeutics (certs)( u19) note: the policies, guidelines terms and conditions stated in this"
RFA-HS-11-003,"centers for education and research on therapeutics (certs) scientific forum (u19) note: the policies, guidelines terms and conditions stated in this"
RFA-RM-10-018,technology development for new affinity reagents against the human proteome (u54)
RFA-DK-11-501,limited competition: data coordinating center for the environmental determinants of diabetes in the young (teddy) study (uc4)
RFA-DA-11-015,medication initiative for tobacco dependence (mitd): a new product development partnership (pdp)(uh2/uh3)
RFA-HL-11-020,â pfindr: phenotype finder in data resources: a tool to support cross-study data discovery among nhlbi genomic studies (uh2/uh3)
RFA-FD-11-013,food protection rapid response team and program infrastructure improvement implementation project (u18)
RFA-OH-11-002,continuation of the national mesothelioma virtual bank for translational research (u24) mechanism of support u24 resource-related projects cooperative agreements
RFA-MD-11-007,limited competition: nimhd revision applications to support environmental health disparities research (p20)
RFA-MD-11-008,limited competition: nimhd revision applications to support environmental health disparities research (p60)
RFA-AR-11-004,niams a ccelerating r esearch t ranslation (art) in musculoskeletal and skin tissue engineering and regenerative medicine competitive revision award (r01)
RFA-AT-07-003,tools and technology to measure patient adherence in cam research: phase ii limited competition (sbir r44)
RFA-AI-10-007,integrated preclinical/clinical program for hiv topical microbicides (ipcp-htm) competitive revisions (u19)
RFA-TR-14-009,clinical and translational science award (u54)
RFA-DK-14-013,polycystic kidney disease (pkd) research and translation core centers (p30)
RFA-CA-14-018,pediatric preclinical testing consortium: research programs (u01)
RFA-AG-15-002,alzheimer's disease research centers (p50)
RFA-DK-14-010,(re)building a kidney: cells to organ (uh2/uh3)
RFA-AA-15-004,consortium on the neurobiology of adolescent drinking in adulthood (nadia) research projects (u01)
RFA-DA-15-006,avenir award program for genetics or epigenetics of substance abuse (dp2)
RFA-OD-14-001,botanical dietary supplement research centers (bdsrc) (p50)
RFA-DK-15-030,type 1 diabetes pathfinder award (dp2)
RFA-ES-14-002,children's environmental health and disease prevention research centers (p50)
RFA-HG-14-020,development of software and analysis methods for biomedical big data in targeted areas of high need (u01)
RFA-FD-15-039,expanding course offerings for state and local regulators in the integrated food safety system (u18)
RFA-RM-15-008,"novel and innovative tools to facilitate identification, tracking, manipulation, and analysis of glycans and their functions (r21)"
RFA-RM-15-002,exploratory technologies to understand the control of organ function by the peripheral nervous system for sparc (u18)
RFA-DA-15-011,extracellular vesicles in hiv/aids and substance abuse (r01)
RFA-EY-15-001,brain initiative: new concepts and early- stage research for large-scale recording and modulation in the nervous system (r21)
RFA-FD-15-008,pharmacometric modeling and simulation for long acting injectable products (u01)
RFA-CA-15-017,big data to knowledge (bd2k) development of software tools and methods for biomedical big data in targeted areas of high need (u01)
RFA-FD-15-021,implementation of the animal feed regulatory program standards (afrps) (u18)
RFA-NS-16-008,brain initiative: research opportunities using invasive neural recording and stimulating technologies in the human brain (u01)
RFA-CA-14-003,early-stage innovative molecular analysis technology development for cancer research (r21)
RFA-ES-13-014,outstanding new environmental scientist (ones) award (r01)
RFA-CA-14-004,validation and advanced development of emerging molecular analysis technologies for cancer research (r33)
RFA-DK-14-011,chronic kidney disease biomarkers consortium (ckd biocon) (u01)
RFA-DK-14-016,type 1 diabetes trialnet clinical centers (u01)
RFA-AG-15-005,nathan shock centers of excellence in basic biology of aging (p30)
RFA-AI-14-004,beyond haart: innovative approaches to cure hiv-1 (u19)
RFA-AG-15-003,claude d. pepper older americans independence centers (p30)
RFA-HD-16-024,neurodevelopmental assessment of infants and children in resource-limited settings (r43/r44)
RFA-DA-15-008,the national drug abuse treatment clinical trials network (ug1)
RFA-DA-14-010,hiv/aids and substance use among black/african american women and young msm (r01)
RFA-AI-14-027,development of sample sparing assays for monitoring immune responses (u24)
RFA-AR-15-002,senator paul d. wellstone muscular dystrophy cooperative research centers (u54)
RFA-CA-14-013,centers of cancer nanotechnology excellence (ccne) (u54)
RFA-FD-15-018,limited competition: advancing conformance with the voluntary national retail food regulatory program standards (vnrfrps) (u18)
RFA-MH-16-815,brain initiative: non-invasive neuromodulation - mechanisms and dose/response relationships for targeted cns effects (r01)
RFA-RM-16-001,genome sequencing center for the gabriella miller kids first pediatric research program (u24)
RFA-HL-16-020,limited competition: small grant program for nhlbi k01/k08/k23 recipients (r03)
RFA-GM-15-003,limited competition: large-scale collaborative project award renewals (u54)
RFA-EB-14-002,blood pressure measurement technologies for low-resource settings in the us and india (u01)
RFA-OD-16-001,clinical sites for the idea states pediatric clinical trials network (ug1)
RFA-NS-14-013,ninds institutional center core grants to support neuroscience research (p30)
RFA-HD-15-029,pediatric hiv/aids cohort study (phacs) data and operations center (doc) (u01)
RFA-FD-15-019,fda fern cooperative agreement continuation program (u18)
RFA-AG-15-016,paul b. beeson clinical scientist development award in aging (k08)
RFA-HS-15-002,ahrq health services research projects: making health care safer in ambulatory care settings and long term care facilities (r01)
RFA-NS-14-006,high impact neuroscience research resource grants (r24)
RFA-HS-14-011,comparative health system performance in accelerating pcor dissemination (u19)
RFA-FD-16-040,egg safety regulatory program standards development (u18)
RFA-MD-15-001,system-level health services and policy research on health disparities (r01)
RFA-FD-15-007,dissolution methods for long-acting periodontal drug products (u01)
RFA-DK-13-007,cystic fibrosis research and translation core center (p30)
RFA-HD-15-010,medical rehabilitation research resource (p2c)
RFA-MH-15-500,dimensional approaches to research classification in psychiatric disorders (r01)
RFA-ES-14-010,centers of excellence on environmental health disparities research (p50)
RFA-MH-15-700,mentored career development award to build research capacity in global mental health (k01)
RFA-FD-16-028,bioequivalence of topical products: comparing dermal pharmacokinetics by microdialysis or microperfusion techniques (u01)
RFA-CA-15-002,innovative molecular analysis technologies for cancer research (r21)
RFA-AI-14-011,"novel, alternative model systems for enteric diseases (u19)"
RFA-DK-14-015,diabetes impact award-closed loop technologies: development and integration of novel components for an automated artificial pancreas system (dp3)
RFA-HS-16-002,pediatric quality measures program (pqmp): dissemination and implementation of child health quality measures cooperative research grants (u18)
RFA-NS-16-005,high impact neuroscience research resource grants (r24)
RFA-AI-15-019,innovation for hiv vaccine discovery (r01)
RFA-DA-16-005,tools for monitoring and manipulating modified rnas in the nervous system (r43/r44)
RFA-CA-15-010,"sbir phase iib bridge awards to accelerate the development of cancer therapeutics, imaging technologies, interventional devices, diagnostics and prognostics toward commercialization (r44)"
RFA-MH-15-320,"clinical trials to test the effectiveness of treatment, preventive, and services interventions (r01)"
RFA-HS-16-001,increasing access to medication-assisted treatment (mat) in rural primary care practices (r18)
RFA-AI-14-015,development of novel therapeutics for select anaerobic protozoa (r21/r33)
RFA-OD-15-006,abuse liability associated with reduced nicotine content tobacco products (r01)
RFA-FD-16-003,building towards statistically-based pharmaceutical quality standards (u01)
RFA-MH-15-330,pilot effectiveness studies and services research grants (r34)
RFA-OD-15-001,building interdisciplinary research careers in women's health (k12)
RFA-ES-15-006,novel assays for screening the effects of chemical toxicants on cell differentiation (r43/r44)
RFA-RM-15-007,facile methods and technologies for synthesis of biomedically relevant carbohydrates (u01)
RFA-HL-15-026,human cellular models for predicting individual responses to cystic fibrosis transmembrane conductance regulator- directed therapeutics (r41)
RFA-CA-15-007,planning for regional centers of research excellence in non-communicable diseases in low and middle income countries (p20)
RFA-AG-15-001,alzheimer's disease core centers (p30)
RFA-HG-14-025,"the electronic medical records and genomics (emerge) network, phase iii study investigators (u01)"
RFA-RM-15-004,undiagnosed diseases gene function research (r21)
RFA-AG-16-015,grants for early medical/surgical subspecialists' transition to aging research (gemsstar) (r03)
RFA-AI-14-055,centers for medical countermeasures against radiation consortium (u19)
RFA-RM-14-020,science of behavior change: assay development and validation for self-regulation targets (uh2/uh3)
RFA-AI-14-058,host-directed tb therapy: new approaches (uh2/uh3)
RFA-HS-14-010,disseminating and implementing evidence from patient-centered outcomes research in clinical practice using mobile health technology (r21)
RFA-RM-14-015,facile methods and technologies for synthesis of biomedically relevant carbohydrates (u01)
RFA-HG-15-001,centers for common disease genomics (um1)
RFA-RM-14-011,4d nucleome network data coordination and integration center (u01)
RFA-FD-16-005,"national training, education, extension, outreach, and technical assistance competitive grants program: regional center grants to enhance food safety"
RFA-DK-13-004,diabetes research centers (p30)
RFA-AG-15-007,grants for early medical/surgical specialists transition to aging research (gemsstar) (r03)
RFA-NS-16-007,brain initiative: optimization of transformative technologies for large scale recording and modulation in the nervous system (u01)
RFA-MH-15-800,consortium on biomarker and outcome measures of social impairment for use in clinical trials in autism spectrum disorder (u19)
RFA-RM-14-030,nuclear organization and function interdisciplinary consortium (nofic)(u54)
RFA-DA-15-005,advancing exceptional research on hiv/aids and substance abuse (r01)
RFA-DE-16-004,biological and physiological effects of e-cigarette aerosol mixtures(ro1)
RFA-HL-15-005,"revision applications for research using aged animal models to study chronic disorders of heart, lung, blood, and sleep (r01)"
RFA-AI-14-028,modeling immunity for biodefense (u19)
RFA-AA-15-006,consortium on the neurobiology of adolescent drinking in adulthood (nadia) research resource (u24)
RFA-RM-14-005,undiagnosed diseases gene function research (r21)
RFA-AI-14-047,immunobiology of xenotransplantation (u19)
RFA-HD-14-034,male contraceptive development program (u01)
RFA-AG-15-009,summer research training in aging for medical students (t35)
RFA-DK-14-003,accelerating medicines partnership (amp) in type 2 diabetes (u01)
RFA-DA-15-010,interventions for youth who misuse/abuse prescription stimulant medications in high school and/or college-attending youth (u01)
RFA-RM-15-021,metabolomics data analysis (r03)
RFA-HG-13-013,interpreting variation in human non-coding genomic regions using computational approaches and experimental assessment (r01)
RFA-HL-15-022,stem cell-derived blood products for therapeutic use (r01)
RFA-HL-14-012,"small market awards: sbir phase iib competing renewals for heart, lung, blood and sleep technologies with small commercial markets (r44)"
RFA-DK-14-027,"consortium for the study of chronic pancreatitis, diabetes and pancreatic cancer clinical centers (cscpdpc -ccs) (u01)"
RFA-DA-15-018,developing technologies and tools to monitor hiv brain reservoirs and how they may be altered by exposure to substances of abuse (r21/r33)
RFA-FD-16-023,"development, implementation, and management of a funding system to support the grade a milk safety program and molluscan shellfish program (u18)"
RFA-HG-15-027,high quality human and non-human primate genome sequences (u24)
RFA-EB-15-006,"brain initiative: theories, models and methods for analysis of complex data from the brain (r01)"
RFA-HD-15-011,women's reproductive health research (wrhr) career development program (k12)
RFA-HL-16-001,molecular imaging of the lung - phase 2 (r01)
RFA-HD-14-013,obstetric-fetal pharmacology research centers (oprc) (u54)
RFA-FD-16-039,food protection task force (fptf) and integrated food safety system (ifss) project grant program (r18)
RFA-HS-15-003,ahrq patient-centered outcomes research clinical decision support learning network (u18)
RFA-DA-15-007,avenir award program for research on substance abuse and hiv/aids (dp2)
RFA-ES-14-004,undergraduate research education program (up) to enhance diversity in the environmental health sciences (r25)
RFA-DK-15-013,"exploratory studies for delineating microbiome: host interactions in obesity, digestive and liver diseases and nutrition (r21)"
RFA-MH-15-225,brain initiative: development and validation of novel tools to analyze cell-specific and circuit-specific processes in the brain (u01)
RFA-MH-16-410,"pilot effectiveness trials for treatment, preventive and services interventions (r34)"
RFA-CA-15-501,limited competition: revisions to add phase 2 clinical trials program to experimental therapeutics clinical trials network (etctn)(um1)
RFA-NS-14-011,ninds exploratory grant program in parkinson's disease research (p20)
RFA-AI-14-026,development of novel therapeutics for select pathogens (r21/r33)
RFA-CA-15-003,advanced development and validation of emerging molecular analysis technologies for cancer research (r33)
RFA-MD-15-008,technologies for improving population health and eliminating health disparities (r41/r42)
RFA-CA-14-005,early-stage development of innovative technologies for biospecimen science (r21)
RFA-AI-14-057,u.s.-china program for research toward a cure for hiv/aids (r01)
RFA-CA-15-009,research answers to nci's provocative questions (r21)
RFA-FD-15-003,"grants to enhance food safety: national training, education, extension, outreach, and technical assistance competitive grants program (u18)"
RFA-AA-14-003,limited competition: comprehensive alcohol-hiv/aids research center (p60)
RFA-DK-15-001,developmental centers for interdisciplinary research in benign urology (p20)
RFA-DK-14-025,"identification of novel targets and pathways mediating weight loss, diabetes resolution and related metabolic disease after bariatric surgery in humans (r01)"
RFA-AI-14-033,atopic dermatitis research network (adrn) (u19)
RFA-EB-15-001,development and translation of medical technologies to reduce health disparities (sbir) (r43/r44)
RFA-MH-16-600,improving health and reducing cardiometabolic risk in youth with serious emotional disturbance and young adults with severe mental illness (r01)
RFA-CA-15-006,big data to knowledge (bd2k) advancing biomedical science using crowdsourcing and interactive digital media (uh2)
RFA-GM-15-005,the nigms human genetic cell repository (u42)
RFA-OD-15-002,empirical research on ethical issues related to central irbs and consent for research using clinical records and data (r01)
RFA-AG-16-012,analyses of human datasets and biospecimens to characterize aging-related phenotypes relationships to circulating polypeptides and proteins that reverse or accelerate aging changes (r01)
RFA-DK-15-025,mechanisms underlying the contribution of type 1 diabetes risk-associated variants (dp3)
RFA-AG-15-012,md-phd training program in aging and the social/behavioral sciences (t32)
RFA-FD-16-015,architectural review of the bridg model (u01)
RFA-AA-16-009,targets of low dose alcohol in the brain (r21)
RFA-DE-16-001,pharmacogenomics of orofacial pain management (r01)
RFA-FD-16-021,fda drug residue cooperative agreement program (u18)
RFA-HL-15-025,pre-symptomatic profiles of chronic lung disease(s) from retrospective cohorts (r21)
RFA-FD-16-042,national curriculum standard development for integrated food safety system regulators (u18)
RFA-RM-14-016,model organisms screening center for the undiagnosed diseases network (udn) (u54)
RFA-ES-14-006,innovative approaches for the identification of mitochondria-cell signaling networks in response to environmental stress
RFA-MH-14-020,"psychencode: identification and characterization of non-coding functional elements in the brain, and their role in the development of mental disorders (r01)"
RFA-ES-15-018,worker training program (wtp) ebola biosafety and infectious disease response training (uh4)
RFA-FD-15-025,fda drug residue cooperative agreement program (u18)
RFA-HD-15-030,novel tools to assess human placental structure and function (r01)
RFA-AA-14-002,limited competition: alcohol-hiv/aids program project on behavioral interactions and intervention (p01)
RFA-NS-16-006,brain initiative: new technologies and novel approaches for large-scale recording and modulation in the nervous system (u01)
RFA-MH-16-220,novel assays to address translational gaps in treatment development (uh2/uh3)
RFA-AG-16-013,development of measures of fatigability in older adults (r21)
RFA-HD-15-017,increasing access and uptake of hiv testing and counseling (htc) and appropriate hiv-related services for adolescents in low and middle-income countries (r01)â
RFA-AG-15-017,paul b. beeson patient-oriented research career development award in aging (k23)
RFA-TR-16-001,pre-clinical research based on existing repurposing tools (r21)
RFA-GM-15-006,training modules to enhance data reproducibility (r25)
RFA-HD-16-028,non- or minimally-invasive methods to measure biochemical substances during neonatal and perinatal patient care and research (r41)
RFA-DK-14-019,studies of hiv in digestive diseases limited to gastrointestinal mucosal immunology and liver diseases (r01)
RFA-HL-15-012,pediatric cardiac genomics consortium (um1)
RFA-AI-14-001,international collaborations in infectious diseases research (u01)
RFA-AI-14-002,international collaborations in infectious diseases research (u19)
RFA-NR-15-001,chronic wounds: advancing the science from prevention to healing (r01)
RFA-FD-15-020,food protection rapid response team (rrt) (u18)
RFA-MH-16-230,limited competition: multi-scale molecular profiling of brains from psychiatric cohorts (collaborative r01)
RFA-DK-14-508,limited competition for the continuation of the search for diabetes in youth cohort study (uc4)
RFA-MD-15-009,innovations for healthy living - improving population health and eliminating health disparities (r43/r44)
RFA-HL-16-017,summer institute for research education in biostatistics (r25)
RFA-HD-16-001,secondary analysis of existing databases in traumatic brain injury to explore outcomes relevant to medical rehabilitation (r21)
RFA-HG-14-027,"the electronic medical records and genomics (emerge) network, phase iii central genome sequencing and genotyping facility (u01)"
RFA-AI-14-025,integrated preclinical/clinical program for hiv topical microbicides and biomedical prevention (ipcp-mbp) (u19)
RFA-MH-16-810,brain initiative: non-invasive neuromodulation - new tools and techniques for spatiotemporal precision (r01)
RFA-MH-16-205,methodologies to enhance understanding of hiv associated social determinants (r21)
RFA-ES-15-008,sbir e-learning for hazmat and emergency response (r43/r44)
RFA-AA-15-003,collaborative partnership on alcohol and health disparity research center (ahdrc) (u54)
RFA-RM-14-014,"novel and innovative tools to facilitate identification, tracking, manipulation, and analysis of glycans and their functions (r21)"
RFA-FD-15-013,educating groups influencing generic drug use (u01)
RFA-DK-15-031,exploration of the roles of brown and beige adipose tissue in humans (r01)
RFA-MH-15-200,brain initiative: planning for next generation human brain imaging (r24)
RFA-MH-15-215,brain initiative: short courses in computational neuroscience (r25)
RFA-AG-15-015,enhancing cross-national research within the health and retirement study family of studies (r01)
RFA-HS-15-001,patient safety learning laboratories: innovative design and development to improve healthcare delivery systems (p30)
RFA-MD-15-011,building population health research capacity in the u.s. affiliated pacific islands (u24)
RFA-DK-14-020,"innovative research in hiv in kidney, urology and hematology (r01)"
RFA-FD-16-020,therapeutic areas for data standards development (u01)
RFA-AG-16-005,characterization of pro- and anti-geronic proteins and peptides (r01)
RFA-AG-15-008,aging and neuromuscular junctions (r01)
RFA-HL-15-027,human cellular models for predicting individual responses to cystic fibrosis transmembrane conductance regulator- directed therapeutics (r43/r44)
RFA-DK-15-018,understanding the pathogenesis and etiology of type 1 diabetes using biosamples and subjects from clinical studies (dp3)
RFA-DK-14-004,prevention of lower urinary tract symptoms in women: bladder health clinical centers (plus-ccs) (u01)
RFA-OD-13-011,tobacco control regulatory research (r01)
RFA-DA-15-015,adolescent brain cognitive development (abcd) study - research project sites (u01)
RFA-HL-15-006,enriching the hematology research workforce through short-term educational experiences in emerging science research education program grant (r25)
RFA-HG-14-008,courses for skills development in biomedical big data science (r25)
RFA-AI-14-019,partnerships for diagnostics to address antimicrobial resistance of select bacterial pathogens (r01)
RFA-DK-14-510,limited competition for the continuation of the hepatitis b research network data coordination center (u01)
RFA-DA-15-013,integration of infectious diseases and substance abuse intervention services for individuals living with hiv (r01)
RFA-AI-14-006,innovation for hiv vaccine discovery (r01)
RFA-AT-16-003,methods development in natural products chemistry (r43/r44)
RFA-RM-14-008,study of nuclear bodies and compartments (u01)
RFA-AG-16-021,collaborative aging (in place) research using technology (cart) (u2c)
RFA-DK-15-022,small business innovation research (sbir) to develop new or improved closed loop automated technologies for diabetes therapy and monitoring (r43/r44)
RFA-HL-15-024,definition of resilience and pre-symptomatic disease in lung health and disease (r01)
RFA-FD-16-012,investigation of peptide-polymer interaction in poly(lactide-co-glycolide) microspheres (u01)
RFA-MH-15-325,"clinical trials to test the effectiveness of treatment, preventive, and services interventions (collaborative r01)"
RFA-CA-13-023,research answers to nciâs provocative questions- group d (r21)
RFA-OD-15-004,tobacco regulatory science small grant program for new investigators (r03)
RFA-HD-15-031,novel tools to assess human placental structure and function (r21)
RFA-MH-15-400,leveraging a recovery act resource to accelerate research on neurodevelopment (r01)
RFA-DA-16-015,services planning research in the appalachian region to address adverse health consequences associated with increased opioid injection drug use (r03)
RFA-GM-14-011,modeling the scientific workforce (u01)
RFA-DK-14-026,psychosocial and behavioral aspects of bariatric surgery (r01)
RFA-RM-12-016,2013 nih director's new innovator award program (dp2)
RFA-DK-16-012,developmental centers for interdisciplinary research in benign urology (p20)
RFA-NS-14-010,nih blueprint program for enhancing neuroscience diversity through undergraduate research education experiences (r25)
RFA-RM-14-009,4d nucleome imaging tools (u01)
RFA-EY-15-002,nei audacious goal initiative:â discovery-based science to identify factors influencing neural regeneration in the visual system (u01)
RFA-CA-14-006,validation and advanced development of emerging technologies for biospecimen science (r33)
RFA-RM-14-007,nucleomics tools (u01)
RFA-NS-15-009,the ninds human cell and data repository (u24)
RFA-DA-16-011,integration of infectious diseases and substance abuse intervention services for individuals living with hiv (r01)
RFA-HD-15-027,pediatric hiv/aids cohort study (phacs) coordinating center (cc) (u01)
RFA-OD-15-005,"chemistry, toxicology, and addiction research on waterpipe tobacco (r01)"
RFA-DK-15-011,coordinating and bioinformatics unit for the mouse metabolic phenotyping centers and the diabetic complications consortium (u24)
RFA-OH-17-001,miner safety and health training program western united states (u60)
RFA-AI-14-012,hla and kir region genomics in immune-mediated diseases (u01)
RFA-ES-15-001,target ii: environmental epigenomic analysis in tissue surrogates (u01)
RFA-CA-15-004,innovative technologies for cancer-relevant biospecimen science (r21)
RFA-RM-14-013,"novel and innovative tools to facilitate identification, tracking, manipulation, and analysis of glycans and their functions (u01)"
RFA-MD-15-005,nih big data to knowledge (bd2k) enhancing diversity in biomedical data science (r25)
RFA-AA-16-007,limited competition for the continuation of cofasp (collaboration on fetal alcohol spectrum disorders prevalence) diagnostic classifications (collaborative u01)
RFA-DA-16-008,nida translational avant-garde award for development of medication to treat substance use disorders (ug3/uh3)
RFA-FD-15-024,integrated food safety system online collaboration development (u18)
RFA-HG-15-021,"centers of excellence in ethical, legal and social implications (elsi) research (ceer) (rm1)"
RFA-HG-13-012,genomics of gene regulation (u01)
RFA-AT-14-006,center for advancing natural products innovation and technology (u41)
RFA-EY-14-001,nei audacious goal initiative: addressing technical needs and opportunities for imaging the visual system (u01)
RFA-HD-16-037,using omics to define human placental development and function across pregnancy (r21)
RFA-DA-15-019,"seek, test, treat and retain for youth and young adults living with or at high risk for acquiring hiv (r01)"
RFA-AT-15-001,center of excellence for natural product drug interaction research (u54)
RFA-EY-16-001,brain initiative: new concepts and early - stage research for large - scale recording and modulation in the nervous system (r21)
RFA-HL-15-031,"research coordinating unit for testing multi-level interventions to improve blood pressure control in minority racial/ethnic, low socioeconomic status, and/or rural populations (u24)"
RFA-AI-14-020,innovative assays to quantify the latent hiv reservoir (r01)
RFA-HL-13-021,t32 training program for institutions that promote diversity (t32)
RFA-FD-16-032,developing a food protection rapid response team (rrt) (u18)
RFA-FD-16-048,"evaluating predictive methods and product performance in healthy adults for pediatric patients, case study: furosemide (u01)"
RFA-FD-15-023,iso/iec 17025:2005 accreditation for state food testing laboratories (u18)
RFA-AT-16-006,innovation award for mechanistic studies to optimize mind and body interventions in nccih high priority research topics (r33)
RFA-HG-13-004,genomic medicine pilot demonstration projects (u01)
RFA-NS-15-004,brain initiative: optimization of transformative technologies for large scale recording and modulation in the nervous system (u01)
RFA-OD-15-129,mobilizing research: a research resource to enhance mhealth research (u2c)
RFA-ES-15-004,nih big data to knowledge (bd2k) biomedical data science training coordination center (u24)
RFA-TR-16-006,tissue chip testing centers: validating microphysiological systems (u24)
RFA-RM-14-019,science of behavior change: assay development and validation for stress reactivity and stress resilience targets (uh2/uh3)
RFA-FD-16-024,assessment of intersubject variability in small airway delivery with oral inhalation drug products (u01)
RFA-HS-14-008,accelerating the dissemination and implementation of pcor findings into primary care practice (r18 )
RFA-MH-16-725,brain initiative: technology sharing and propagation (r03)
RFA-FD-16-001,"native american tribes outreach, education, and training to enhance food safety and fsma compliance (u01)"
RFA-MH-16-775,brain initiative: development and validation of novel tools to analyze cell-specific and circuit-specific processes in the brain (r01)
RFA-HG-14-026,"the electronic medical records and genomics (emerge) network, phase iii coordinating center (u01)"
RFA-AI-13-055,pilot clinical trials to eliminate the latent hiv reservoir (u01)
RFA-FD-16-036,collaborating centers of excellence in regulatory science and innovation (u01)
RFA-DC-15-001,special topic research education course: exploring auditory and vestibular biology (r25)
RFA-RM-15-009,"novel and innovative tools to facilitate identification, tracking, manipulation, and analysis of glycans and their functions (u01)"
RFA-DA-15-012,extracellular vesicles in hiv/aids and substance abuse (r21)
RFA-AI-15-021,nih-pepfar collaboration on implementation science for hiv: towards an aids-free generation (r21)
RFA-HL-16-002,sudden cardiac death in the young: population based studies (u01)
RFA-GM-15-001,genomes to natural products (u01)
RFA-FD-16-025,integrating supersaturation-precipitation mechanisms in mechanistic oral absorption models for predicting in- vivo performance of associated formulations (u01)
RFA-HL-15-019,developing improved assessments of tissue oxygenation (r44)
RFA-DA-15-016,adolescent brain cognitive development (abcd) study - data analysis and informatics center (u24)
RFA-HG-15-002,centers for mendelian genomics (um1)
RFA-MH-15-850,gut-microbiome-brain interactions and mental health (r21/r33)
RFA-DA-16-003,tools and services for designing methodologically rigorous animal studies (r43/r44)
RFA-DK-14-503,limited competition for the data coordinating center of accelerating medicines partnership (amp) in type 2 diabetes (u01)
RFA-AG-16-003,comparative physiological studies of aging (r03)
RFA-DE-15-006,multidisciplinary and collaborative research consortium to reduce oral health disparities in children: a multilevel approach (uh2/uh3)
RFA-AI-14-048,immunobiology of xenotransplantation (u01)
RFA-AA-15-005,consortium on the neurobiology of adolescent drinking in adulthood (nadia) administrative resource (u24)
RFA-HL-15-030,stem cell-derived blood products for therapeutic use: technology improvement (r43/r44)
RFA-OD-14-003,limited competition: mutant mouse resource and research centers (u42)
RFA-RM-12-003,human heredity and health in africa (h3africa): h3africa biorepository grants (uh2/uh3)
RFA-ES-14-005,novel technologies for rapid and sensitive biomonitoring in humans (r43/r44)
RFA-HD-16-006,tools for assessment and improvement of neurologic outcomes (r41/r42)
RFA-ES-14-003,sbir e-learning for hazmat and emergency response (r43/r44)
RFA-DK-15-506,limited competition: understanding how epigenetics and infections impact autoimmunity and diabetes in the environmental determinants of diabetes in the young study (teddy) (uc4)
RFA-RM-16-009,stimulating peripheral activity to relieve conditions (sparc): pre-clinical development of existing market-approved devices to support new market indications (u18)
RFA-HD-15-001,improving health through rehabilitation robotic technology (r43/r44)
RFA-FD-16-026,implementing population pharmacokinetic modeling algorithm in physiologically-based pharmacokinetic models to allow parameter estimation at individual data level (u01)
RFA-CA-15-005,advanced development and validation of emerging technologies for cancer-relevant biospecimen science (r33)
RFA-EB-15-003,pediatric research using integrated sensor monitoring systems (prisms): informatics platform technologies for asthma (u54)
RFA-AI-13-059,prevention innovation program (pip) (r01)
RFA-NS-15-003,brain initiative: new technologies and novel approaches for large-scale recording and modulation in the nervous system (u01)
RFA-EB-14-001,development and translation of medical technologies to reduce health disparities (sbir) (r43/r44)
RFA-AI-15-017,limited competition: international epidemiology databases to evaluate aids (iedea) (u01)
RFA-HS-14-009,evaluation of ahrq initiative to accelerate the dissemination and implementation of pcor findings into primary care (r01)
RFA-OD-14-005,nih research evaluation and commercialization hub (reach) awards (u01)
RFA-CA-14-019,pediatric preclinical testing consortium: coordinating center (u01)
RFA-AI-15-038,nonhuman primate reagent resource (u24)
RFA-HD-16-030,innovative development/use of technology to increase hiv testing and linkage to care efforts in adolescent populations (r41/r42)
RFA-FD-15-027,development and application of case control analysis for generic drugs (u01)
RFA-CA-15-013,provocative questions in cancer with an underlying hiv infection (r21)
RFA-DK-15-009,translational research to improve outcomes in kidney diseases (r18)
RFA-HD-16-004,"collaborative research in genomics, epigenomics, and bioinformatics in gynecologic health and disease (r21)"
RFA-FD-15-006,dissolution methods for long-acting levonorgestrel intrauterine system (u01)
RFA-HD-16-007,tools for assessment and improvement of neurologic outcomes (r43/r44)
RFA-MH-16-235,limited competition: multi-scale molecular profiling of brains from psychiatric cohorts (r01)
RFA-DK-15-028,impact of the use of glucose monitoring and control technologies on health outcomes and quality of life in older adults with type 1 diabetes (t1d) (dp3)
RFA-AI-13-054,resources to assist investigations in primary immunodeficiency diseases (u24)
RFA-NS-15-010,the ninds human biomarkers biospecimen and data repository (u24)
RFA-AG-15-006,clinical trial on the effects of interventions aiming to reduce chronic inflammation in older adults: pilot phase (u01)
RFA-FD-16-002,"local food producer outreach, education, and training to enhance food safety and fda food safety modernization act (fsma) compliance (u01)"
RFA-LM-15-002,"nih big data to knowledge (bd2k) initiative research education: open educational resources for sharing, annotating and curating biomedical big data (r25)"
RFA-ES-14-011,coordinating center for the breast cancer and the environment research program (u01)
RFA-FD-16-004,evaluating quality metrics for risk-based surveillance of drug manufacturing operations and facilities (u01)
RFA-DK-14-008,reagents for glucagon and incretin research (r43/r44)
RFA-DK-15-024,small business innovation research (sbir) to develop new methods and technologies for assessment of risk and for early diagnosis and prognosis of type 1 diabetes (t1d) (r43/r44)
